geometry,lat,lon,g_x,g_y,v,area_grid,area_grid_km,grid_pop,grid_avg_inc,pop_density_km
"POLYGON ((110188.38860847357 493770.7975624863, 110688.38860847357 493770.7975624863, 110688.38860847357 494270.7975624863, 110188.38860847357 494270.7975624863, 110188.38860847357 493770.7975624863))",493770.7975624863,110188.38860847357,0,0,0,250000.0,0.25,0.0,,0.0
"POLYGON ((110688.38860847357 493770.7975624863, 111188.38860847357 493770.7975624863, 111188.38860847357 494270.7975624863, 110688.38860847357 494270.7975624863, 110688.38860847357 493770.7975624863))",493770.7975624863,110688.38860847357,0,1,1,250000.0,0.25,0.0,,0.0
"POLYGON ((111188.38860847357 493770.7975624863, 111688.38860847357 493770.7975624863, 111688.38860847357 494270.7975624863, 111188.38860847357 494270.7975624863, 111188.38860847357 493770.7975624863))",493770.7975624863,111188.38860847357,0,2,2,250000.0,0.25,0.0,,0.0
"POLYGON ((111688.38860847357 493770.7975624863, 112188.38860847357 493770.7975624863, 112188.38860847357 494270.7975624863, 111688.38860847357 494270.7975624863, 111688.38860847357 493770.7975624863))",493770.7975624863,111688.38860847357,0,3,3,250000.0,0.25,0.0,,0.0
"POLYGON ((112188.38860847357 493770.7975624863, 112688.38860847357 493770.7975624863, 112688.38860847357 494270.7975624863, 112188.38860847357 494270.7975624863, 112188.38860847357 493770.7975624863))",493770.7975624863,112188.38860847357,0,4,4,250000.0,0.25,0.0,,0.0
"POLYGON ((112688.38860847357 493770.7975624863, 113188.38860847357 493770.7975624863, 113188.38860847357 494270.7975624863, 112688.38860847357 494270.7975624863, 112688.38860847357 493770.7975624863))",493770.7975624863,112688.38860847357,0,5,5,250000.0,0.25,0.0,,0.0
"POLYGON ((113188.38860847357 493770.7975624863, 113688.38860847357 493770.7975624863, 113688.38860847357 494270.7975624863, 113188.38860847357 494270.7975624863, 113188.38860847357 493770.7975624863))",493770.7975624863,113188.38860847357,0,6,6,250000.0,0.25,0.0,,0.0
"POLYGON ((113688.38860847357 493770.7975624863, 114188.38860847357 493770.7975624863, 114188.38860847357 494270.7975624863, 113688.38860847357 494270.7975624863, 113688.38860847357 493770.7975624863))",493770.7975624863,113688.38860847357,0,7,7,250000.0,0.25,0.0,,0.0
"POLYGON ((114188.38860847357 493770.7975624863, 114688.38860847357 493770.7975624863, 114688.38860847357 494270.7975624863, 114188.38860847357 494270.7975624863, 114188.38860847357 493770.7975624863))",493770.7975624863,114188.38860847357,0,8,8,250000.0,0.25,0.0,,0.0
"POLYGON ((114688.38860847357 493770.7975624863, 115188.38860847357 493770.7975624863, 115188.38860847357 494270.7975624863, 114688.38860847357 494270.7975624863, 114688.38860847357 493770.7975624863))",493770.7975624863,114688.38860847357,0,9,9,250000.0,0.25,0.0,,0.0
